x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
880,400,0,0.0843288,107.943,0.424,0.012,249.289
80,200,1,0.102534,177.909,0.548,0.012,1340.29
560,640,2,0.153438,365.355,0.728,0.22,2787.76
640,480,3,0.138656,274.2,0.648,0.132,2360.14
520,720,4,0.157108,339.169,0.732,0.212,2668.87
160,800,5,0.146119,286.647,0.636,0.144,1892.68
600,840,6,0.128439,227.001,0.544,0.112,1541.09
320,440,7,0.163145,354.866,0.788,0.228,3145.27
280,480,8,0.173822,356.463,0.852,0.248,3309.75
560,960,9,0.111334,187.191,0.56,0.044,827.585
