x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
120,600,0,0.152659,309.181,0.716,0.188,2424.27
800,600,1,0.110072,176.581,0.544,0.028,1349.82
720,560,2,0.125199,217.967,0.56,0.068,1878.37
80,280,3,0.115692,232.193,0.58,0.048,1677.25
600,360,4,0.13279,233.196,0.604,0.112,2435.72
160,240,5,0.11659,207.056,0.512,0.048,1861.08
680,200,6,0.0952046,136.766,0.496,0,284.034
520,840,7,0.142625,266.759,0.68,0.136,1834.42
760,560,8,0.115364,210.105,0.572,0.048,1653.62
280,160,9,0.112606,195.841,0.576,0.032,1664.55
320,880,10,0.142,265.29,0.628,0.164,1774.42
800,400,11,0.10036,148.728,0.488,0.004,305.958
840,280,12,0.0824638,102.272,0.42,0.008,217.702
520,560,13,0.160613,366.745,0.736,0.216,3068.79
480,520,14,0.163831,313.727,0.768,0.24,3368.88
160,480,15,0.152478,284.768,0.68,0.212,2798.4
160,720,16,0.156809,325.324,0.72,0.2,2178.22
400,640,17,0.171717,369.143,0.784,0.288,3340.85
840,440,18,0.0987843,145.203,0.512,0.012,309.531
760,320,19,0.100606,142.65,0.488,0.004,335.401
560,320,20,0.13124,227.373,0.644,0.1,2256.27
840,120,21,0.060275,52.1814,0.16,0.02,107.253
320,760,22,0.166494,341.352,0.816,0.232,2629.86
760,360,23,0.104303,173.562,0.54,0.004,363.899
240,920,24,0.132651,269.566,0.568,0.116,1184.75
960,120,25,0.0505478,42.6282,0.096,0,50
80,960,26,0.105098,141.152,0.464,0.028,412.58
360,560,27,0.17041,353.066,0.828,0.276,3208.95
360,400,28,0.158617,319.024,0.74,0.212,3065.88
400,320,29,0.146569,277.228,0.692,0.156,2886.31
120,680,30,0.150344,298.573,0.708,0.164,2256.4
200,640,31,0.162286,319.092,0.768,0.228,2835.61
280,680,32,0.168044,339.053,0.78,0.28,2784.18
800,760,33,0.106745,167.35,0.548,0.004,928.566
160,200,34,0.114509,187.737,0.524,0.04,1590.95
880,520,35,0.0907466,156.135,0.412,0.008,257.856
680,400,36,0.119853,203.59,0.62,0.068,422.769
