x,y,z,name,phi,kx,facies,ntg,prod
200,360,0.0,0,0.0843905,6.80742,2.0,0,0.0813687756736
200,360,6.0,0,0.0988731,13.7777,2.0,1,0.0953328695715
200,360,12.0,0,0.0776195,44.3872,2.0,0,0.0748402000813
200,360,18.0,0,0.0958731,96.3307,2.0,0,0.0924402629809
200,360,24.0,0,0.0297353,76.8647,3.0,0,0.0286706202139
200,360,30.0,0,0.0200757,87.8225,2.0,0,0.0193568757095
200,360,36.0,0,0.0891546,76.9193,2.0,1,0.0859623449442
200,360,42.0,0,0.0816314,99.0092,2.0,0,0.0787085342619
200,360,48.0,0,0.0866033,94.591,2.0,0,0.083502382905
200,360,54.0,0,0.0835611,89.8375,2.0,0,0.080569097583
200,360,60.0,0,0.0925393,83.0684,1.0,1,0.0892258013423
200,360,66.0,0,0.100545,75.3456,2.0,1,0.0969449292565
200,360,72.0,0,0.0840243,77.9604,2.0,0,0.0810156878838
200,360,78.0,0,0.112213,92.6486,2.0,1,0.108194601756
200,360,84.0,0,0.103462,81.2628,2.0,1,0.0997571625602
200,360,90.0,0,0.0910257,95.3825,2.0,0,0.0877664339568
200,360,96.0,0,0.0752796,87.1456,2.0,0,0.0725841519449
200,360,102.0,0,0.084682,79.0489,3.0,0,0.0816498566861
200,360,108.0,0,0.0625701,96.6923,2.0,0,0.0603297397103
200,360,114.0,0,0.113719,98.8875,2.0,1,0.109647120142
200,360,120.0,0,0.0858742,86.2589,2.0,1,0.082799362398
200,360,126.0,0,0.0659114,94.1217,2.0,0,0.0635514016064
200,360,132.0,0,0.0912973,79.8625,2.0,0,0.0880283017827
200,360,138.0,0,0.0643389,97.7135,2.0,0,0.0620352032446
200,360,144.0,0,0.0607981,76.1137,2.0,0,0.0586211042109
200,360,150.0,0,0.0678238,78.317,2.0,0,0.06539528311
200,360,156.0,0,0.0894972,74.345,2.0,0,0.0862926526261
200,360,162.0,0,0.101513,98.2005,2.0,1,0.0978783759102
200,360,168.0,0,0.0479753,79.0038,2.0,1,0.046257497134
200,360,174.0,0,0.051194,75.0816,2.0,0,0.0493609074628
200,360,180.0,0,0.0809609,81.5358,2.0,0,0.0780619618332
200,360,186.0,0,0.11738,84.6032,2.0,1,0.113176794673
200,360,192.0,0,0.110156,157.066,1.0,1,0.10621165265
200,360,198.0,0,0.0543355,89.2233,2.0,0,0.0523899512544
200,360,204.0,0,0.060648,84.7344,2.0,1,0.0584764180317
200,360,210.0,0,0.0867549,85.4744,1.0,0,0.0836485398907
200,360,216.0,0,0.0700474,89.3401,4.0,0,0.0675393052687
200,360,222.0,0,0.116881,89.9376,2.0,1,0.112696361614
200,360,228.0,0,0.0972137,92.6178,3.0,1,0.0937328320883
200,360,234.0,0,0.103168,183.082,2.0,0,0.0994740553874
200,360,240.0,0,0.118169,137.331,2.0,1,0.113938216266
200,360,246.0,0,0.128365,177.883,3.0,1,0.123768809776
200,360,252.0,0,0.126503,180.114,2.0,1,0.121973414559
200,360,258.0,0,0.138325,173.159,2.0,1,0.13337197841
200,360,264.0,0,0.136995,197.449,2.0,1,0.132089541587
200,360,270.0,0,0.119812,202.471,1.0,1,0.11552244482
200,360,276.0,0,0.131408,258.2,4.0,1,0.126702655721
200,360,282.0,0,0.137933,252.981,2.0,0,0.132994105272
200,360,288.0,0,0.139914,203.455,2.0,1,0.134903859499
200,360,294.0,0,0.164311,348.395,2.0,1,0.158427275292
200,360,300.0,0,0.171597,339.963,3.0,1,0.165452802472
200,360,306.0,0,0.193148,334.073,2.0,1,0.186231898349
200,360,312.0,0,0.194551,309.057,3.0,1,0.187584683095
200,360,318.0,0,0.193283,314.311,3.0,1,0.186362743822
200,360,324.0,0,0.190476,106.418,2.0,1,0.183655756842
200,360,330.0,0,0.192534,650.265,3.0,1,0.185640398056
200,360,336.0,0,0.193826,413.446,3.0,0,0.186886070813
200,360,342.0,0,0.195586,465.752,3.0,1,0.188582946705
200,360,348.0,0,0.193115,414.564,3.0,0,0.186200677009
200,360,354.0,0,0.193745,466.91,3.0,1,0.186807809491
200,360,360.0,0,0.189523,467.067,3.0,1,0.182736780372
200,360,366.0,0,0.149494,452.35,3.0,1,0.144140891038
200,360,372.0,0,0.196489,389.243,3.0,1,0.189453705568
200,360,378.0,0,0.155196,349.132,2.0,1,0.149639146718
200,360,384.0,0,0.180117,364.45,1.0,1,0.173667405664
200,360,390.0,0,0.185027,355.43,2.0,1,0.17840205504
200,360,396.0,0,0.168429,442.624,3.0,1,0.162397887176
200,360,402.0,0,0.197336,393.474,3.0,0,0.190270491885
200,360,408.0,0,0.178826,459.368,1.0,1,0.17242333779
200,360,414.0,0,0.179842,447.856,3.0,1,0.173402243509
200,360,420.0,0,0.206074,432.248,3.0,1,0.198695019101
200,360,426.0,0,0.211052,437.208,3.0,1,0.20349465765
200,360,432.0,0,0.198872,407.939,3.0,1,0.191750690775
200,360,438.0,0,0.201374,364.42,3.0,1,0.19416361565
200,360,444.0,0,0.152653,457.277,3.0,1,0.147187056568
200,360,450.0,0,0.196179,600.496,3.0,1,0.189154376433
200,360,456.0,0,0.19477,370.701,3.0,1,0.187795793618
200,360,462.0,0,0.200763,395.026,3.0,1,0.193574465838
200,360,468.0,0,0.195749,422.599,3.0,1,0.188739672661
200,360,474.0,0,0.184014,390.277,3.0,1,0.177425208475
200,360,480.0,0,0.192016,429.585,3.0,1,0.185140396593
200,360,486.0,0,0.188805,428.305,3.0,1,0.182044398885
200,360,492.0,0,0.203983,431.115,3.0,1,0.1966786562
200,360,498.0,0,0.205724,369.956,3.0,1,0.19835824833
200,360,504.0,0,0.193029,479.676,3.0,1,0.186117254783
200,360,510.0,0,0.179254,423.836,4.0,1,0.172835203506
200,360,516.0,0,0.190948,453.556,3.0,1,0.18411112997
200,360,522.0,0,0.208864,512.518,3.0,1,0.201385694092
200,360,528.0,0,0.177881,386.8,4.0,1,0.171511332785
200,360,534.0,0,0.214121,419.314,3.0,1,0.206454453382
200,360,540.0,0,0.200579,419.314,3.0,1,0.193396545959
200,360,546.0,0,0.200951,419.314,3.0,1,0.193755796346
200,360,552.0,0,0.212587,494.73,3.0,1,0.20497543515
200,360,558.0,0,0.198854,419.314,3.0,1,0.191733831533
200,360,564.0,0,0.215731,419.314,3.0,1,0.208006463355
200,360,570.0,0,0.182158,419.314,3.0,1,0.175635621388
200,360,576.0,0,0.216023,386.451,3.0,0,0.208288399995
200,360,582.0,0,0.219848,419.314,2.0,1,0.211976005929
200,360,588.0,0,0.213257,419.314,4.0,1,0.20562107183
200,360,594.0,0,0.211855,419.314,3.0,1,0.204269577496
200,360,600.0,0,0.230519,419.314,3.0,1,0.222264662013
200,360,606.0,0,0.231283,419.314,4.0,1,0.223002041628
200,360,612.0,0,0.2283,419.314,4.0,1,0.220124991342
200,360,618.0,0,0.229758,419.314,4.0,1,0.221531427794
200,360,624.0,0,0.240285,527.195,4.0,1,0.231680906355
200,360,630.0,0,0.223378,506.108,4.0,1,0.215380000425
200,360,636.0,0,0.244227,526.804,4.0,1,0.235482512581
200,360,642.0,0,0.232669,553.243,4.0,1,0.224338353577
200,360,648.0,0,0.232752,616.709,4.0,1,0.224417989481
200,360,654.0,0,0.244995,658.85,4.0,1,0.236222482738
200,360,660.0,0,0.242038,659.265,4.0,1,0.233371519513
200,360,666.0,0,0.237893,619.012,4.0,1,0.229375248491
200,360,672.0,0,0.232669,629.595,4.0,1,0.224338353577
200,360,678.0,0,0.254597,631.204,4.0,1,0.245481154522
200,360,684.0,0,0.253359,620.242,4.0,0,0.244286867919
200,360,690.0,0,0.263061,730.873,4.0,0,0.253642123071
200,360,696.0,0,0.267873,611.152,4.0,1,0.258281202702
200,360,702.0,0,0.232669,728.565,4.0,1,0.224338353577
200,360,708.0,0,0.262715,773.812,4.0,1,0.25330809643
200,360,714.0,0,0.268184,661.074,4.0,0,0.258581698108
200,360,720.0,0,0.267467,664.074,4.0,1,0.257889592715
200,360,726.0,0,0.271246,755.597,4.0,1,0.261533260828
200,360,732.0,0,0.232669,639.936,1.0,1,0.224338353577
200,360,738.0,0,0.269503,504.813,4.0,0,0.259852707302
200,360,744.0,0,0.267557,573.875,4.0,1,0.257976736365
200,360,750.0,0,0.271898,616.28,2.0,1,0.262162577089
200,360,756.0,0,0.26792,722.817,2.0,1,0.258326768202
200,360,762.0,0,0.080091,783.834,1.0,0,0.0772231966192
200,360,768.0,0,0.271263,639.145,1.0,1,0.261549717792
200,360,774.0,0,0.02,702.503,1.0,0,0.0192838753657
200,360,780.0,0,0.0271459,605.244,1.0,0,0.0261739544441
200,360,786.0,0,0.02,10.8689,1.0,0,0.0192838753657
200,360,792.0,0,0.0764985,120.243,1.0,0,0.0737593619476
200,360,798.0,0,0.02,8.80888,1.0,1,0.0192838753657
200,360,804.0,0,0.0223205,7.46735,1.0,0,0.0215213190098
200,360,810.0,0,0.02,7.88025,1.0,0,0.0192838753657
200,360,816.0,0,0.02,8.2793,1.0,0,0.0192838753657
200,360,822.0,0,0.075022,6.87051,1.0,1,0.0723357788355
200,360,828.0,0,0.02,6.80742,2.0,0,0.0192838753657
200,360,834.0,0,0.0204485,8.63548,2.0,0,0.0197162976572
200,360,840.0,0,0.0214356,93.444,2.0,0,0.0206680699018
200,360,846.0,0,0.02,7.43543,2.0,0,0.0192838753657
200,360,852.0,0,0.075022,7.33654,2.0,0,0.0723357788355
200,360,858.0,0,0.0765649,8.25741,3.0,0,0.0738233895007
200,360,864.0,0,0.125195,9.72219,2.0,1,0.120712658437
200,360,870.0,0,0.0988964,8.17015,2.0,0,0.0953552619693
200,360,876.0,0,0.106129,237.058,4.0,1,0.102329265806
200,360,882.0,0,0.0764985,7.88605,1.0,1,0.0737593619476
200,360,888.0,0,0.0815195,8.81117,1.0,0,0.0786005841477
200,360,894.0,0,0.047077,8.32515,1.0,0,0.0453913458874
200,360,900.0,0,0.052815,9.38796,1.0,1,0.0509239414406
200,360,906.0,0,0.0573009,8.11218,1.0,0,0.0552491821583
200,360,912.0,0,0.0796873,8.11218,1.0,0,0.0768340424202
200,360,918.0,0,0.0563525,8.11218,4.0,0,0.0543347542044
200,360,924.0,0,0.0584875,8.11218,2.0,0,0.0563932965854
200,360,930.0,0,0.0595667,8.11218,1.0,0,0.0574338571206
200,360,936.0,0,0.0580931,8.11218,2.0,0,0.0560129784104
200,360,942.0,0,0.0944295,8.11218,2.0,0,0.0910483781309
200,360,948.0,0,0.0572132,8.11218,2.0,0,0.0551646456045
200,360,954.0,0,0.0568604,8.11218,2.0,0,0.054824410819
200,360,960.0,0,0.0568242,8.11218,2.0,0,0.0547895535993
200,360,966.0,0,0.077529,8.11218,2.0,1,0.0747529585085
200,360,972.0,0,0.101893,8.11218,2.0,1,0.0982441579723
200,360,978.0,0,0.0713521,103.999,3.0,0,0.0687972495574
200,360,984.0,0,0.0733514,124.548,2.0,0,0.0707249534243
200,360,990.0,0,0.0960022,121.834,2.0,0,0.0925647441641
200,360,996.0,0,0.102505,111.669,2.0,1,0.0988342310877
200,360,1002.0,0,0.108954,139.81,4.0,1,0.105052508641
200,360,1008.0,0,0.111674,124.025,2.0,1,0.107675323732
200,360,1014.0,0,0.106847,112.056,2.0,1,0.10302135314
200,360,1020.0,0,0.11454,136.807,2.0,1,0.110439130468
200,360,1026.0,0,0.0996411,145.248,2.0,0,0.0960733405021
200,360,1032.0,0,0.115866,146.964,2.0,1,0.1117174291
200,360,1038.0,0,0.0916968,148.335,2.0,0,0.0884134714071
200,360,1044.0,0,0.105729,156.045,2.0,1,0.101943503782
200,360,1050.0,0,0.109091,255.196,2.0,1,0.105184452672
200,360,1056.0,0,0.121848,172.356,2.0,1,0.117485288206
200,360,1062.0,0,0.12248,181.003,2.0,1,0.118094129716
200,360,1068.0,0,0.111585,144.23,2.0,1,0.107589482569
200,360,1074.0,0,0.117191,142.776,3.0,1,0.112994396748
200,360,1080.0,0,0.118312,181.687,2.0,0,0.114075251544
