x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
200,360,0,0.146972,284.038,0.676,0.188,2582.72
360,360,1,0.150597,318.64,0.632,0.212,3052.13
840,720,2,0.0974174,154.421,0.48,0.044,779.107
520,520,3,0.16101,317.961,0.704,0.248,3276.66
120,40,4,0.0761055,87.7504,0.452,0.028,582.182
800,560,5,0.109621,177.34,0.564,0.072,360.565
160,160,6,0.0998371,143.366,0.5,0.064,1189.68
160,400,7,0.149373,284.182,0.62,0.18,2554.05
840,280,8,0.0781698,87.6618,0.36,0.076,246.945
120,280,9,0.120487,202.634,0.612,0.108,1874.69
