x,y,z,name,phi,kx,facies,ntg,prod
920,320,0.0,0,0.0242157,7.1682,3.0,0,0.00555427729222
920,320,6.0,0,0.0216711,6.46367,1.0,0,0.00497062712076
920,320,12.0,0,0.02,14.3111,4.0,0,0.00458734026874
920,320,18.0,0,0.02,8.06024,1.0,0,0.00458734026874
920,320,24.0,0,0.0250841,8.00934,1.0,1,0.00575347477411
920,320,30.0,0,0.02,6.60212,1.0,0,0.00458734026874
920,320,36.0,0,0.02,7.89806,1.0,0,0.00458734026874
920,320,42.0,0,0.02,67.2442,1.0,0,0.00458734026874
920,320,48.0,0,0.02,7.43805,2.0,1,0.00458734026874
920,320,54.0,0,0.0201817,7.06404,1.0,0,0.0046290064806
920,320,60.0,0,0.0314252,7.40439,1.0,0,0.00720791044592
920,320,66.0,0,0.0285327,6.15074,1.0,0,0.00654445917244
920,320,72.0,0,0.02,7.63705,1.0,0,0.00458734026874
920,320,78.0,0,0.0309832,7.67708,4.0,0,0.00710651919956
920,320,84.0,0,0.0319059,7.42884,1.0,0,0.00731816832192
920,320,90.0,0,0.027765,13.6586,1.0,0,0.00636838543
920,320,96.0,0,0.0280093,17.717,1.0,1,0.00642439878218
920,320,102.0,0,0.025868,16.5667,4.0,0,0.00593326590359
920,320,108.0,0,0.0218335,15.1712,1.0,0,0.00500787859235
920,320,114.0,0,0.0337233,14.1534,1.0,0,0.00773501860348
920,320,120.0,0,0.0363749,6.15074,1.0,0,0.00834319853046
920,320,126.0,0,0.0370512,17.3643,1.0,1,0.00849832470299
920,320,132.0,0,0.031976,17.7466,1.0,0,0.00733423962167
920,320,138.0,0,0.0354822,20.0607,3.0,0,0.00813843883187
920,320,144.0,0,0.0206597,21.6188,1.0,0,0.00473865356716
920,320,150.0,0,0.0284973,6.15074,1.0,0,0.00653633255547
920,320,156.0,0,0.0345121,19.0268,3.0,0,0.0079159289069
920,320,162.0,0,0.038346,19.6521,1.0,0,0.00879530749726
920,320,168.0,0,0.036342,20.4258,1.0,0,0.00833566740864
920,320,174.0,0,0.0373366,19.3817,1.0,0,0.00856378622135
920,320,180.0,0,0.0502566,8.74729,1.0,0,0.0115272152802
920,320,186.0,0,0.0216493,19.8133,1.0,0,0.00496564505523
920,320,192.0,0,0.046016,17.6401,1.0,0,0.0105545524903
920,320,198.0,0,0.02,17.188,1.0,0,0.00458734026874
920,320,204.0,0,0.02,21.2401,1.0,0,0.00458734026874
920,320,210.0,0,0.0201562,19.1874,1.0,0,0.00462316360095
920,320,216.0,0,0.02,20.1077,2.0,0,0.00458734026874
920,320,222.0,0,0.0549665,46.6522,1.0,0,0.0126074983981
920,320,228.0,0,0.0794079,42.6312,1.0,1,0.0182135592948
920,320,234.0,0,0.0632334,46.6522,1.0,0,0.0145036614107
920,320,240.0,0,0.0808333,46.6522,1.0,1,0.0185404812311
920,320,246.0,0,0.0571158,46.6522,1.0,0,0.0131004735287
920,320,252.0,0,0.0596603,46.6522,4.0,0,0.0136840989027
920,320,258.0,0,0.0552558,46.6522,1.0,0,0.0126738593927
920,320,264.0,0,0.056288,46.6522,2.0,0,0.0129106113295
920,320,270.0,0,0.0559692,46.6522,1.0,0,0.012837494183
920,320,276.0,0,0.0530715,46.6522,1.0,0,0.0121728433031
920,320,282.0,0,0.0731881,53.0656,1.0,0,0.0167869306861
920,320,288.0,0,0.056119,46.6522,1.0,0,0.0128718533843
920,320,294.0,0,0.0548359,46.6522,2.0,0,0.0125775573511
920,320,300.0,0,0.0361709,46.6522,2.0,0,0.00829641167584
920,320,306.0,0,0.0880813,46.6522,2.0,0,0.0202029487654
920,320,312.0,0,0.089491,46.6522,2.0,0,0.0205262783017
920,320,318.0,0,0.0982162,42.3218,2.0,0,0.02252756305
920,320,324.0,0,0.103745,46.6522,2.0,1,0.0237956235063
920,320,330.0,0,0.0921048,46.6522,2.0,1,0.0211257988401
920,320,336.0,0,0.0967768,46.6522,2.0,0,0.0221973946518
920,320,342.0,0,0.0911142,46.6522,2.0,0,0.020898594786
920,320,348.0,0,0.0865203,122.452,2.0,0,0.0198449025337
920,320,354.0,0,0.0947618,112.438,2.0,0,0.0217352383871
920,320,360.0,0,0.0947728,104.022,2.0,0,0.0217377582743
920,320,366.0,0,0.0951212,104.969,2.0,1,0.0218176654566
920,320,372.0,0,0.0931298,113.516,2.0,0,0.0213609096623
920,320,378.0,0,0.0807177,91.4269,2.0,1,0.0185139808217
920,320,384.0,0,0.054437,104.036,2.0,0,0.0124860616047
920,320,390.0,0,0.0521188,101.26,2.0,0,0.0119543246074
920,320,396.0,0,0.0945154,85.7683,2.0,0,0.0216787145432
920,320,402.0,0,0.0953629,83.4061,2.0,0,0.0218730971779
920,320,408.0,0,0.0627057,136.769,2.0,1,0.0143826252103
920,320,414.0,0,0.0577489,81.507,2.0,0,0.0132457015085
920,320,420.0,0,0.0459312,94.0188,2.0,0,0.0105350925089
920,320,426.0,0,0.079086,83.7825,4.0,1,0.0181397268945
920,320,432.0,0,0.0963888,80.4172,2.0,0,0.0221084095395
920,320,438.0,0,0.0843834,92.9145,2.0,0,0.0193547767655
920,320,444.0,0,0.11903,61.9369,2.0,1,0.0273016483542
920,320,450.0,0,0.108054,87.6947,2.0,1,0.0247841043459
920,320,456.0,0,0.0518579,112.502,2.0,0,0.011894482566
920,320,462.0,0,0.0981272,84.8262,2.0,0,0.0225071486597
920,320,468.0,0,0.0515663,82.0239,2.0,1,0.0118276024992
920,320,474.0,0,0.0514029,72.1614,2.0,0,0.0117901280671
920,320,480.0,0,0.0531469,92.0281,2.0,0,0.0121901479919
920,320,486.0,0,0.112381,71.9412,2.0,1,0.0257765807814
920,320,492.0,0,0.101484,92.2318,2.0,1,0.0232771327363
920,320,498.0,0,0.0884715,71.3569,2.0,0,0.0202924335292
920,320,504.0,0,0.0357336,84.9834,2.0,0,0.00819610614467
920,320,510.0,0,0.0217161,73.7408,4.0,0,0.00498096188736
920,320,516.0,0,0.0219553,39.5168,2.0,0,0.00503582653379
920,320,522.0,0,0.107079,83.0289,1.0,1,0.0245604864693
920,320,528.0,0,0.0819501,81.7984,2.0,1,0.0187966454424
920,320,534.0,0,0.097225,82.6458,2.0,1,0.0223002142369
920,320,540.0,0,0.0848504,103.923,1.0,0,0.0194618827269
920,320,546.0,0,0.100339,117.584,2.0,1,0.0230145186936
920,320,552.0,0,0.108809,132.872,2.0,1,0.0249572359282
920,320,558.0,0,0.113744,125.911,2.0,1,0.0260891655168
920,320,564.0,0,0.11606,138.596,2.0,1,0.0266204172157
920,320,570.0,0,0.109167,122.618,2.0,1,0.0250391943559
920,320,576.0,0,0.0974236,125.663,2.0,0,0.0223457683784
920,320,582.0,0,0.110623,127.221,2.0,1,0.0253732048944
920,320,588.0,0,0.0861278,130.104,3.0,0,0.0197548658524
920,320,594.0,0,0.0965994,127.259,2.0,0,0.0221567141851
920,320,600.0,0,0.106481,134.915,2.0,1,0.0244231168794
920,320,606.0,0,0.103419,117.68,2.0,1,0.0237209011584
920,320,612.0,0,0.115531,115.96,2.0,1,0.026499047579
920,320,618.0,0,0.11551,143.07,2.0,1,0.0264942648579
920,320,624.0,0,0.115104,121.965,2.0,1,0.0264011266079
920,320,630.0,0,0.0981268,139.826,2.0,0,0.0225070549111
920,320,636.0,0,0.109974,144.428,2.0,1,0.0252244751827
920,320,642.0,0,0.120111,141.158,2.0,1,0.0275495636338
920,320,648.0,0,0.136154,116.706,2.0,1,0.0312291854648
920,320,654.0,0,0.132122,150.874,2.0,1,0.0303045429496
920,320,660.0,0,0.112542,168.339,2.0,1,0.0258135092032
920,320,666.0,0,0.0954782,173.024,2.0,0,0.0218995542864
