x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
560,760,0,0.147899,272.857,0.636,0.184,1849.48
680,40,1,0.0657063,58.0408,0.26,0.02,182.015
600,880,2,0.125346,214.239,0.572,0.088,1072.93
520,360,3,0.142082,283.153,0.612,0.156,2201.99
440,120,4,0.100555,145.322,0.464,0.024,1462.58
280,160,5,0.114463,184.116,0.58,0.08,1665.45
480,160,6,0.111003,163.033,0.56,0.048,1572.38
200,440,7,0.154955,335.928,0.668,0.24,2229.29
120,40,8,0.0761055,87.7504,0.452,0.028,582.182
520,720,9,0.160166,299.76,0.68,0.236,2344.75
600,480,10,0.145094,295.131,0.608,0.168,2692.54
560,720,11,0.152855,285.783,0.736,0.22,2425.84
640,760,12,0.136919,247.62,0.648,0.148,1921.76
960,720,13,0.0748111,87.5706,0.328,0.052,127.826
800,520,14,0.108974,190.139,0.496,0.052,320.762
840,280,15,0.0781698,87.6618,0.36,0.076,246.945
40,160,16,0.0903491,121.782,0.492,0.036,770.542
80,320,17,0.123797,197.631,0.572,0.088,1594.93
480,760,18,0.158124,317.485,0.692,0.188,2414.01
400,480,19,0.170724,359.68,0.708,0.248,3500
800,920,20,0.0876705,129.897,0.496,0.032,191.82
960,840,21,0.0681418,72.4653,0.292,0.064,122.256
400,560,22,0.170995,385.958,0.744,0.28,2877.95
600,840,23,0.131778,233.07,0.596,0.12,1427.2
520,680,24,0.158491,331.447,0.676,0.22,2396.81
240,560,25,0.165591,348.964,0.696,0.236,3175.28
960,360,26,0.0665784,82.3646,0.368,0.044,131.79
560,560,27,0.156978,319.945,0.676,0.212,2521.59
720,680,28,0.122707,212.202,0.572,0.1,1647.16
560,80,29,0.0906719,123.25,0.42,0.052,306.588
40,960,30,0.101699,150.54,0.488,0.048,373.294
440,200,31,0.113072,181.262,0.512,0.076,1515.91
440,440,32,0.165944,338.061,0.752,0.228,3253.69
40,840,33,0.121063,198.6,0.484,0.116,739.926
80,960,34,0.106345,190.409,0.508,0.06,469.074
160,200,35,0.107989,188.501,0.556,0.088,1315.08
840,920,36,0.0800744,97.52,0.396,0.044,148.734
480,520,37,0.165743,361.778,0.716,0.236,3277.75
560,680,38,0.15478,311.897,0.652,0.196,2055.97
880,640,39,0.094775,127.67,0.488,0.048,316.921
280,840,40,0.151951,294.725,0.652,0.196,1543.29
120,280,41,0.120487,202.634,0.612,0.108,1874.69
760,560,42,0.11483,180.383,0.516,0.072,1544.17
720,760,43,0.116875,196.229,0.528,0.1,1121.09
240,40,44,0.082677,108.573,0.428,0.04,713.629
320,880,45,0.143769,264.295,0.608,0.148,1785.09
680,200,46,0.0961814,154.702,0.468,0.044,269.866
640,280,47,0.112686,188.134,0.516,0.072,327.13
120,440,48,0.151498,300.079,0.664,0.176,2033.72
400,240,49,0.128107,248.978,0.596,0.128,1787.57
640,520,50,0.140754,251.81,0.612,0.168,2264.82
600,400,51,0.137759,249.659,0.584,0.108,2037.61
360,200,52,0.118968,190.117,0.568,0.084,2130.96
400,720,53,0.162951,320.486,0.696,0.252,2581.71
680,120,54,0.0808624,97.334,0.392,0.052,180.193
640,880,55,0.120332,215.38,0.556,0.1,931.63
320,80,56,0.0958341,133.457,0.52,0.028,975.864
160,400,57,0.149373,284.182,0.62,0.18,2554.05
40,880,58,0.113325,169.446,0.524,0.08,635.41
440,360,59,0.147963,274.555,0.62,0.216,2286.85
280,560,60,0.174473,375.603,0.736,0.248,3329.55
920,520,61,0.0821289,93.1036,0.408,0.028,184.908
400,600,62,0.168128,391.103,0.692,0.272,3297.33
640,320,63,0.116622,192.103,0.576,0.072,452.823
480,480,64,0.161085,345.084,0.712,0.224,3178.54
800,120,65,0.0637071,63.7044,0.268,0.064,137.456
760,800,66,0.105739,146.686,0.516,0.056,811.437
480,880,67,0.141468,288.458,0.636,0.16,1613.58
520,160,68,0.100939,148.298,0.528,0.032,276.762
320,40,69,0.0867605,106.258,0.468,0.048,939.734
840,560,70,0.100828,151.676,0.528,0.048,331.862
240,640,71,0.1665,353.969,0.7,0.24,2733.87
880,120,72,0.0544341,51.7278,0.192,0.06,51.8178
240,280,73,0.132854,240.028,0.588,0.152,1955.89
40,40,74,0.0650279,72.6157,0.292,0.04,359.125
960,80,75,0.0538509,48.7615,0.212,0.052,98.1506
520,800,76,0.148136,293.942,0.664,0.212,2200.8
280,240,77,0.12448,234.826,0.572,0.1,2155.02
320,360,78,0.151909,299.676,0.696,0.184,2354.92
360,600,79,0.171917,351.749,0.708,0.252,2948.03
280,640,80,0.169878,330.717,0.684,0.236,2548.41
760,960,81,0.0898016,116.365,0.444,0.036,296.272
760,40,82,0.0569921,53.2039,0.216,0.048,109.496
120,400,83,0.138389,242.224,0.604,0.152,2249.19
800,240,84,0.0809523,103.592,0.36,0.028,212.475
400,120,85,0.100885,116.375,0.488,0.064,1461.46
240,920,86,0.133549,225.406,0.592,0.136,980.083
360,160,87,0.111342,177.665,0.528,0.06,1556.49
160,640,88,0.158102,303.361,0.644,0.232,2157.02
920,240,89,0.0602605,71.3791,0.268,0.048,71.1211
440,160,90,0.108681,187.175,0.496,0.064,1531.99
680,480,91,0.135371,242.019,0.592,0.132,1984.27
480,40,92,0.0853237,121.515,0.42,0.044,175.75
160,240,93,0.114825,193.077,0.596,0.08,1758.19
800,560,94,0.109621,177.34,0.564,0.072,360.565
800,800,95,0.100033,166.467,0.5,0.056,651.076
320,280,96,0.137124,235.403,0.604,0.148,2149.27
360,400,97,0.162481,342.511,0.692,0.192,3370.26
640,400,98,0.128375,201.541,0.604,0.136,1944.12
200,800,99,0.149394,283.838,0.644,0.168,1486.54
120,80,100,0.0855335,113.468,0.416,0.036,734.429
720,240,101,0.0957059,133.572,0.532,0.064,283.722
520,520,102,0.16101,317.961,0.704,0.248,3276.66
520,760,103,0.152146,288.595,0.604,0.208,2369.16
880,720,104,0.091642,125.77,0.472,0.048,437.322
720,160,105,0.085439,109.692,0.468,0.076,232.635
880,400,106,0.0853092,120.844,0.424,0.04,167.935
200,280,107,0.130929,225.325,0.564,0.14,2047.6
280,880,108,0.143986,261.435,0.652,0.168,1706.25
440,40,109,0.0852784,110.673,0.464,0.056,169.799
480,240,110,0.120931,235.939,0.572,0.08,2070.51
280,760,111,0.161964,351.667,0.68,0.22,2605.23
40,800,112,0.123756,217.49,0.516,0.08,1001.37
600,40,113,0.0750387,86.4769,0.384,0.048,173.608
840,200,114,0.0714418,85.298,0.32,0.052,178.491
760,240,115,0.0888953,120.351,0.496,0.068,250.365
720,800,116,0.113466,187.151,0.512,0.08,852.717
600,520,117,0.149034,274.975,0.676,0.164,2823.76
640,80,118,0.0772198,97.5474,0.368,0.052,228.453
720,40,119,0.0619606,64.3684,0.232,0.044,83.6079
80,720,120,0.143783,280.015,0.572,0.176,1741.04
960,40,121,0.0539363,49.8617,0.216,0.06,50
