x,y,z,name,phi,kx,facies,ntg,prod
120,600,0.0,0,0.071154,10.2412,1.0,0,0.0485959503411
120,600,6.0,0,0.0559711,28.2446,2.0,0,0.0382264944585
120,600,12.0,0,0.0873286,43.229,2.0,0,0.0596426339604
120,600,18.0,0,0.0228411,75.5944,2.0,0,0.0155997450343
120,600,24.0,0,0.0423251,10.2412,2.0,0,0.0289066992982
120,600,30.0,0,0.0901207,105.342,2.0,0,0.0615496079985
120,600,36.0,0,0.0861163,114.554,4.0,0,0.058814674941
120,600,42.0,0,0.0884336,103.952,2.0,0,0.0603973524477
120,600,48.0,0,0.0882005,100.905,1.0,0,0.0602381475625
120,600,54.0,0,0.0987657,83.8989,3.0,0,0.067453813347
120,600,60.0,0,0.112271,105.116,2.0,1,0.0766774348304
120,600,66.0,0,0.0764196,94.0519,2.0,0,0.0521921657132
120,600,72.0,0,0.08942,88.0226,2.0,1,0.0610710274823
120,600,78.0,0,0.0599111,86.209,2.0,0,0.0409173923791
120,600,84.0,0,0.0611915,80.891,3.0,1,0.0417918290755
120,600,90.0,0,0.0613253,93.3777,1.0,0,0.0418832310419
120,600,96.0,0,0.0572299,83.7394,1.0,0,0.0390862153629
120,600,102.0,0,0.0900915,10.2412,2.0,0,0.061529662718
120,600,108.0,0,0.0612973,27.3091,2.0,0,0.0418641397546
120,600,114.0,0,0.0592079,28.1684,2.0,0,0.0404371452638
120,600,120.0,0,0.0622148,106.631,2.0,0,0.0424907655651
120,600,126.0,0,0.0959897,106.425,3.0,1,0.065557909518
120,600,132.0,0,0.096633,85.898,2.0,0,0.0659972634214
120,600,138.0,0,0.0920883,10.2412,3.0,1,0.0628933842446
120,600,144.0,0,0.0948293,104.036,2.0,0,0.0647653965803
120,600,150.0,0,0.0945576,130.826,2.0,0,0.0645798318375
120,600,156.0,0,0.0935004,129.991,4.0,1,0.0638578090141
120,600,162.0,0,0.102699,115.058,2.0,1,0.0701398995152
120,600,168.0,0,0.0934579,130.781,1.0,0,0.0638287970451
120,600,174.0,0,0.0952914,95.8311,1.0,1,0.0650809909516
120,600,180.0,0,0.0936856,10.2412,2.0,1,0.0639843242324
120,600,186.0,0,0.0944541,113.635,2.0,0,0.0645091690291
120,600,192.0,0,0.116096,126.538,2.0,0,0.0792898904785
120,600,198.0,0,0.0926601,127.218,4.0,0,0.0632838863925
120,600,204.0,0,0.119828,97.002,3.0,1,0.0818389751668
120,600,210.0,0,0.0901249,134.316,2.0,0,0.0615524850609
120,600,216.0,0,0.0772562,100.246,1.0,1,0.0527635049184
120,600,222.0,0,0.125066,149.721,3.0,1,0.0854161163398
120,600,228.0,0,0.0558469,141.671,2.0,0,0.0381416750336
120,600,234.0,0,0.0589724,143.016,3.0,0,0.0402762489576
120,600,240.0,0,0.0639184,126.577,2.0,1,0.043654252154
120,600,246.0,0,0.0206971,121.692,2.0,0,0.0141354585971
120,600,252.0,0,0.131828,133.809,2.0,1,0.0900346330628
120,600,258.0,0,0.0977957,21.3818,3.0,0,0.0667913695622
120,600,264.0,0,0.117388,100.601,2.0,1,0.080172222881
120,600,270.0,0,0.137554,126.104,2.0,1,0.0939451050044
120,600,276.0,0,0.144051,130.811,2.0,1,0.0983824166342
120,600,282.0,0,0.135872,140.475,2.0,1,0.0927965838761
120,600,288.0,0,0.190587,108.434,2.0,1,0.130164914011
120,600,294.0,0,0.167033,52.1909,2.0,1,0.114078227053
120,600,300.0,0,0.168361,144.971,3.0,0,0.11498546934
120,600,306.0,0,0.198336,132.598,3.0,1,0.135456886908
120,600,312.0,0,0.203731,115.013,3.0,1,0.139142006964
120,600,318.0,0,0.207767,139.674,2.0,1,0.14189852914
120,600,324.0,0,0.217108,141.126,3.0,0,0.148278169011
120,600,330.0,0,0.206723,126.379,3.0,0,0.141185281209
120,600,336.0,0,0.214473,527.566,3.0,1,0.146478017428
120,600,342.0,0,0.204111,505.058,3.0,1,0.13940129915
120,600,348.0,0,0.178993,407.063,3.0,1,0.122246617947
120,600,354.0,0,0.195925,396.442,3.0,0,0.133810865727
120,600,360.0,0,0.190324,508.14,3.0,0,0.129985513729
120,600,366.0,0,0.203359,496.041,3.0,1,0.138887902708
120,600,372.0,0,0.204485,502.049,3.0,1,0.139656790923
120,600,378.0,0,0.185646,444.461,4.0,1,0.1267902798
120,600,384.0,0,0.238865,484.554,3.0,1,0.163137024627
120,600,390.0,0,0.195473,357.532,3.0,0,0.133501860451
120,600,396.0,0,0.200038,381.822,3.0,0,0.136619338057
120,600,402.0,0,0.206036,419.9,3.0,1,0.140715954229
120,600,408.0,0,0.196737,363.772,4.0,1,0.13436515591
120,600,414.0,0,0.197532,491.013,3.0,1,0.134908408443
120,600,420.0,0,0.190514,493.58,3.0,1,0.130115039141
120,600,426.0,0,0.196979,479.107,3.0,0,0.134530250999
120,600,432.0,0,0.207536,425.087,3.0,1,0.14174050356
120,600,438.0,0,0.201026,475.717,3.0,1,0.13729427026
120,600,444.0,0,0.208861,456.434,1.0,1,0.142645514347
120,600,450.0,0,0.209772,427.402,3.0,1,0.143267307343
120,600,456.0,0,0.214824,427.309,3.0,1,0.146717851675
120,600,462.0,0,0.208343,535.484,2.0,0,0.14229141366
120,600,468.0,0,0.21385,501.873,3.0,1,0.146052755134
120,600,474.0,0,0.210677,396.724,3.0,1,0.143885905497
120,600,480.0,0,0.226302,396.256,3.0,1,0.15455707742
120,600,486.0,0,0.206079,459.31,3.0,1,0.140745408527
120,600,492.0,0,0.208969,405.81,3.0,1,0.142719237672
120,600,498.0,0,0.212581,508.815,3.0,1,0.145185932383
120,600,504.0,0,0.20661,500.564,3.0,0,0.141108320635
120,600,510.0,0,0.209643,575.523,3.0,1,0.143179806836
120,600,516.0,0,0.208367,572.015,3.0,1,0.142307976607
120,600,522.0,0,0.213598,436.778,3.0,1,0.145880642617
120,600,528.0,0,0.222455,474.206,3.0,1,0.151929645034
120,600,534.0,0,0.217246,522.447,2.0,1,0.148372043508
120,600,540.0,0,0.200599,608.447,4.0,1,0.137002685842
120,600,546.0,0,0.217932,445.916,3.0,1,0.148840534633
120,600,552.0,0,0.219338,463.63,4.0,1,0.149800903387
120,600,558.0,0,0.224813,520.347,3.0,1,0.153539857008
120,600,564.0,0,0.208462,463.318,3.0,0,0.142373010924
120,600,570.0,0,0.215251,505.789,4.0,0,0.147009837203
120,600,576.0,0,0.220511,349.188,4.0,1,0.150602058189
120,600,582.0,0,0.228008,574.934,4.0,1,0.155722581354
120,600,588.0,0,0.231981,490.659,4.0,1,0.158435947649
120,600,594.0,0,0.226846,499.438,3.0,1,0.154928312903
120,600,600.0,0,0.236825,562.834,4.0,1,0.161744284529
120,600,606.0,0,0.231891,617.659,4.0,0,0.158374288876
120,600,612.0,0,0.24051,441.6,3.0,0,0.164260714166
120,600,618.0,0,0.220949,576.185,3.0,1,0.150901004104
120,600,624.0,0,0.240821,491.548,4.0,1,0.164473055815
120,600,630.0,0,0.222763,472.721,1.0,1,0.152140083611
120,600,636.0,0,0.246963,648.79,4.0,1,0.168667742639
120,600,642.0,0,0.242605,632.235,2.0,1,0.165691760996
120,600,648.0,0,0.254379,519.252,4.0,1,0.173732564084
120,600,654.0,0,0.259227,613.073,1.0,0,0.177043891118
120,600,660.0,0,0.256639,597.179,4.0,1,0.175276221756
120,600,666.0,0,0.258789,638.417,4.0,1,0.176744933738
120,600,672.0,0,0.242605,513.06,4.0,1,0.165691760996
120,600,678.0,0,0.265414,586.119,4.0,1,0.181269435757
120,600,684.0,0,0.274355,640.285,1.0,1,0.187375952078
120,600,690.0,0,0.272916,571.969,4.0,1,0.186393017666
120,600,696.0,0,0.272406,516.263,4.0,1,0.186044366367
120,600,702.0,0,0.242605,816.793,4.0,1,0.165691760996
120,600,708.0,0,0.278601,730.019,4.0,0,0.190275578847
120,600,714.0,0,0.278097,638.721,4.0,1,0.189931686746
120,600,720.0,0,0.269797,633.864,4.0,0,0.184262698505
120,600,726.0,0,0.271623,633.864,4.0,1,0.185509887453
120,600,732.0,0,0.242605,633.864,4.0,0,0.165691760996
120,600,738.0,0,0.234577,633.864,3.0,1,0.160208706036
120,600,744.0,0,0.193132,814.867,4.0,1,0.131903121742
120,600,750.0,0,0.169255,633.864,2.0,1,0.115595729811
120,600,756.0,0,0.139851,633.864,2.0,1,0.0955139152213
120,600,762.0,0,0.0868993,633.864,4.0,0,0.0593494407047
120,600,768.0,0,0.119668,633.864,2.0,1,0.0817293913499
120,600,774.0,0,0.0977069,633.864,2.0,0,0.0667306888355
120,600,780.0,0,0.096406,817.844,2.0,0,0.0658422537247
120,600,786.0,0,0.0898079,633.864,2.0,0,0.0613359379408
120,600,792.0,0,0.0854824,633.864,1.0,1,0.0583817833194
120,600,798.0,0,0.0816036,633.864,4.0,0,0.0557326789102
120,600,804.0,0,0.0798544,633.864,2.0,0,0.0545380357134
120,600,810.0,0,0.082089,633.864,2.0,0,0.0560641713176
120,600,816.0,0,0.0919895,97.0188,1.0,0,0.0628259395654
120,600,822.0,0,0.0854824,87.5792,2.0,0,0.0583817833194
120,600,828.0,0,0.0810307,115.344,3.0,0,0.0553413954193
120,600,834.0,0,0.0906272,96.0232,2.0,0,0.0618955236212
120,600,840.0,0,0.0847812,91.648,4.0,0,0.0579028616503
120,600,846.0,0,0.0896544,111.197,2.0,0,0.0612311455058
120,600,852.0,0,0.0854824,87.5618,3.0,0,0.0583817833194
120,600,858.0,0,0.0858375,113.061,2.0,1,0.0586242597021
120,600,864.0,0,0.0873212,85.0117,2.0,0,0.0596376225321
120,600,870.0,0,0.0810061,86.3972,2.0,0,0.0553246101705
120,600,876.0,0,0.0549123,98.4507,2.0,0,0.0375033592619
120,600,882.0,0,0.085768,100.841,2.0,0,0.0585768396732
120,600,888.0,0,0.0218774,78.1633,2.0,0,0.0149415736874
120,600,894.0,0,0.0207531,76.6141,2.0,0,0.0141737167193
120,600,900.0,0,0.02,111.93,2.0,0,0.0136593664689
120,600,906.0,0,0.022227,76.1772,2.0,0,0.0151803151204
120,600,912.0,0,0.0883582,104.281,1.0,0,0.0603458441275
120,600,918.0,0,0.0688947,107.895,2.0,0,0.0470529119309
120,600,924.0,0,0.0925114,10.2412,1.0,0,0.0631823713053
120,600,930.0,0,0.103949,83.1582,2.0,1,0.0709941334916
120,600,936.0,0,0.062729,77.3691,3.0,0,0.0428419534812
120,600,942.0,0,0.103008,195.715,2.0,1,0.0703511464098
120,600,948.0,0,0.0460038,101,2.0,0,0.0314191251287
120,600,954.0,0,0.0341848,97.5617,2.0,0,0.0233471310553
120,600,960.0,0,0.0830983,146.369,4.0,0,0.0567534748587
120,600,966.0,0,0.0860048,111.52,2.0,0,0.058738546419
120,600,972.0,0,0.108601,201.43,2.0,1,0.0741711735296
120,600,978.0,0,0.110034,166.758,2.0,1,0.0751499071669
120,600,984.0,0,0.118751,165.371,2.0,1,0.0811028926995
120,600,990.0,0,0.112458,132.862,2.0,1,0.0768051707923
120,600,996.0,0,0.122551,148.288,1.0,0,0.0836984684013
120,600,1002.0,0,0.119009,131.753,4.0,1,0.0812792846484
120,600,1008.0,0,0.108371,139.653,1.0,0,0.0740142574536
120,600,1014.0,0,0.0972622,158.007,2.0,0,0.0664270328185
120,600,1020.0,0,0.109057,165.449,2.0,0,0.0744825918721
120,600,1026.0,0,0.12427,129.503,2.0,1,0.0848725956027
120,600,1032.0,0,0.129959,141.331,2.0,0,0.0887580394179
120,600,1038.0,0,0.1017,159.285,2.0,1,0.0694576607455
120,600,1044.0,0,0.127274,128.615,1.0,0,0.0869242538727
120,600,1050.0,0,0.123421,176.345,1.0,1,0.0842923118207
120,600,1056.0,0,0.133109,119.019,2.0,1,0.0909089908798
120,600,1062.0,0,0.132906,244.109,2.0,1,0.0907708750291
120,600,1068.0,0,0.133975,154.357,2.0,1,0.0915008974086
120,600,1074.0,0,0.120982,139.68,2.0,1,0.0826267302574
120,600,1080.0,0,0.130589,121.222,2.0,1,0.0891880387128
120,600,1086.0,0,0.116524,363.952,2.0,1,0.0795820532883
120,600,1092.0,0,0.144551,176.087,3.0,1,0.0987238056009
120,600,1098.0,0,0.101028,164.744,2.0,1,0.0689989138118
120,600,1104.0,0,0.100723,154.819,3.0,0,0.068790781655
120,600,1110.0,0,0.09858,291.236,2.0,0,0.0673269966785
120,600,1116.0,0,0.10215,108.202,3.0,1,0.0697654708778
120,600,1122.0,0,0.16076,120.956,1.0,1,0.109793897817
120,600,1128.0,0,0.101918,138.757,3.0,1,0.0696066036435
120,600,1134.0,0,0.100947,114.288,3.0,0,0.0689437735493
120,600,1140.0,0,0.100047,279.926,3.0,1,0.0683286939477
120,600,1146.0,0,0.0984091,146.247,3.0,0,0.0672103279893
120,600,1152.0,0,0.1758,121.919,4.0,1,0.120065919018
120,600,1158.0,0,0.171001,123.404,3.0,0,0.116788301507
120,600,1164.0,0,0.180167,144.111,3.0,1,0.123048488292
120,600,1170.0,0,0.171239,119.356,3.0,1,0.116951123602
120,600,1176.0,0,0.186709,108.784,3.0,1,0.127516538404
120,600,1182.0,0,0.192971,134.56,3.0,1,0.131792756798
120,600,1188.0,0,0.226642,130.456,4.0,1,0.154789611706
120,600,1194.0,0,0.195802,150.807,3.0,0,0.133726527756
120,600,1200.0,0,0.199198,153.249,2.0,1,0.136046129333
120,600,1206.0,0,0.213088,151.684,4.0,1,0.145532618266
120,600,1212.0,0,0.207233,149.861,1.0,0,0.141533824778
120,600,1218.0,0,0.2138,10.2412,3.0,1,0.146018585853
120,600,1224.0,0,0.211298,144.743,2.0,1,0.14430964672
120,600,1230.0,0,0.219294,154.978,3.0,1,0.149770847462
120,600,1236.0,0,0.219443,135.792,3.0,1,0.149872823694
120,600,1242.0,0,0.216388,135.63,1.0,1,0.147786347183
120,600,1248.0,0,0.218139,109.32,4.0,0,0.1489817426
120,600,1254.0,0,0.215517,611.177,4.0,1,0.147191261351
120,600,1260.0,0,0.232176,456.001,4.0,1,0.158568990257
120,600,1266.0,0,0.233464,504.139,1.0,1,0.15944842756
120,600,1272.0,0,0.216388,591.29,4.0,1,0.147786347183
120,600,1278.0,0,0.238677,614.142,4.0,1,0.163008659623
120,600,1284.0,0,0.256413,561.652,4.0,1,0.175121650228
120,600,1290.0,0,0.25851,484.257,2.0,1,0.176554362931
120,600,1296.0,0,0.258346,646.295,4.0,1,0.176442461068
