x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
120,840,0,0.13616,255.58,0.644,0.164,1180.97
80,600,1,0.146077,275.169,0.616,0.196,2278.18
440,160,2,0.107934,166.25,0.536,0.112,1840.54
600,840,3,0.13263,224.477,0.58,0.152,1267.97
680,800,4,0.122692,214.71,0.54,0.1,1175.3
440,560,5,0.166928,345.736,0.684,0.232,2911.13
840,80,6,0.0561549,54.9355,0.3,0.116,69.4411
160,120,7,0.0980289,141.881,0.472,0.104,1177.2
480,280,8,0.12952,230.272,0.596,0.132,2157.05
640,840,9,0.123436,228.824,0.544,0.188,1417.34
