x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
960,120,0,0.0586802,52.6668,0.272,0.088,70.3262
320,480,1,0.162149,357.123,0.656,0.236,3341.79
160,480,2,0.154948,340.05,0.648,0.184,2213.53
360,640,3,0.173897,395.063,0.676,0.248,2990.24
80,240,4,0.108232,167.406,0.492,0.096,1440.17
120,880,5,0.127748,224.761,0.548,0.16,1051.47
160,720,6,0.155979,317.467,0.58,0.216,1923.88
320,760,7,0.16366,333.736,0.684,0.256,2578.66
560,720,8,0.15283,313.221,0.58,0.168,1993.71
720,880,9,0.104982,149.655,0.516,0.136,619.106
680,400,10,0.123747,205.907,0.548,0.128,455.228
920,400,11,0.0759194,82.3587,0.432,0.08,178.955
600,640,12,0.154022,339.458,0.648,0.2,1935.6
120,280,13,0.120205,193.741,0.568,0.112,1934.09
440,360,14,0.145434,301.705,0.616,0.236,2359.83
600,480,15,0.143408,287.144,0.58,0.18,2773.8
720,240,16,0.0980255,153.447,0.496,0.128,318.226
840,720,17,0.0957432,149.009,0.472,0.096,767.625
680,160,18,0.0879624,120.816,0.476,0.16,253.313
360,600,19,0.170449,337.626,0.704,0.292,3500
480,520,20,0.165788,382.032,0.72,0.208,3200.64
160,440,21,0.148245,298.849,0.592,0.152,2190.34
160,760,22,0.147709,307.506,0.624,0.204,1395.53
360,760,23,0.165545,375.481,0.632,0.256,2838.84
520,720,24,0.156141,325.064,0.664,0.236,2344.21
920,320,25,0.0724498,77.3922,0.344,0.076,169.125
400,240,26,0.127309,205.101,0.62,0.108,1794.08
720,920,27,0.0979869,129.917,0.492,0.088,605.017
440,720,28,0.166803,355.233,0.672,0.212,2052.34
280,720,29,0.164235,339.45,0.664,0.232,2813.54
600,720,30,0.148945,273.958,0.628,0.224,2193.9
440,40,31,0.084014,96.3892,0.448,0.08,204.381
680,520,32,0.134709,248.954,0.592,0.176,1964.39
80,280,33,0.114021,176.187,0.56,0.112,1207.91
880,240,34,0.0703919,73.5729,0.376,0.092,138.996
920,280,35,0.0667279,74.3078,0.292,0.108,150.458
160,640,36,0.159561,323.502,0.66,0.216,2211.06
520,480,37,0.161665,334.677,0.68,0.192,3133.9
720,160,38,0.0862799,146.313,0.456,0.092,283.868
800,960,39,0.0815999,101.454,0.428,0.096,243.886
840,960,40,0.0792283,101.507,0.376,0.104,209.151
520,200,41,0.111304,180.954,0.548,0.128,1411.28
560,360,42,0.135773,260.398,0.62,0.16,1825.28
80,760,43,0.136447,257.233,0.576,0.152,1665.66
440,240,44,0.126681,211.294,0.56,0.104,1713.86
840,480,45,0.101629,138.225,0.484,0.1,275.324
320,600,46,0.169627,369.961,0.676,0.292,3131.77
40,960,47,0.107987,159.937,0.532,0.08,304.257
40,680,48,0.136721,261.11,0.628,0.152,1783.58
240,560,49,0.164733,353.275,0.68,0.276,2986.34
600,280,50,0.120717,205.027,0.524,0.12,471.086
480,800,51,0.150825,331.953,0.612,0.224,2277.45
640,440,52,0.134334,265.216,0.552,0.188,2379.64
960,360,53,0.0627594,60.0037,0.3,0.08,99.4766
200,200,54,0.112156,193.55,0.536,0.188,1371.42
680,840,55,0.116441,194.401,0.544,0.124,1156.4
240,480,56,0.163582,324.506,0.704,0.256,2921.4
840,680,57,0.100996,157.13,0.532,0.1,787.44
680,440,58,0.130842,240.107,0.612,0.128,1816.72
440,160,59,0.107934,166.25,0.536,0.112,1840.54
920,640,60,0.0829085,117.744,0.472,0.104,245.36
440,920,61,0.136843,240.747,0.6,0.172,1042.17
600,840,62,0.13263,224.477,0.58,0.152,1267.97
480,480,63,0.164943,332.807,0.648,0.212,3255.95
520,560,64,0.15983,332.144,0.68,0.236,2968.78
880,880,65,0.0766926,95.4311,0.392,0.108,216.018
720,720,66,0.120468,222.859,0.524,0.128,1437.31
800,280,67,0.0892429,111.639,0.496,0.1,284.571
960,720,68,0.0713814,72.6045,0.304,0.08,195.68
920,560,69,0.0858426,123.724,0.476,0.124,191.172
680,680,70,0.133348,230.162,0.56,0.188,1351.8
520,80,71,0.089079,122.911,0.448,0.132,227.193
80,320,72,0.123727,215.676,0.568,0.108,1350.58
120,600,73,0.158276,316.446,0.588,0.216,2130.69
680,280,74,0.107481,180.781,0.552,0.108,426.301
360,280,75,0.13783,241.233,0.604,0.156,2474.11
440,440,76,0.15814,309.7,0.688,0.22,2741.9
40,720,77,0.134292,259.855,0.592,0.136,1605.43
280,240,78,0.128047,226.931,0.584,0.124,1582.27
400,520,79,0.167621,380.998,0.656,0.264,3139.9
760,120,80,0.0697156,78.9901,0.344,0.072,119.739
280,760,81,0.159985,326.097,0.704,0.204,1753.9
720,400,82,0.113209,190.289,0.508,0.12,345.357
80,640,83,0.146019,278.249,0.572,0.212,1609.84
800,400,84,0.100433,144.651,0.54,0.1,309.677
320,720,85,0.167523,351.11,0.64,0.264,2449.63
240,880,86,0.140821,249.498,0.58,0.184,1322.39
80,480,87,0.142526,254.475,0.568,0.18,2392.6
320,960,88,0.127729,243.602,0.564,0.16,1016.89
600,200,89,0.103,150.681,0.472,0.1,396.813
200,240,90,0.121775,193.976,0.556,0.14,1380.24
320,280,91,0.137059,258.135,0.636,0.172,2173.48
800,360,92,0.0978582,159.527,0.472,0.12,337.599
40,520,93,0.138555,246.42,0.648,0.164,1828.19
200,920,94,0.124463,216.36,0.544,0.136,1090.09
640,760,95,0.134128,242.261,0.576,0.164,1707.15
40,40,96,0.0663962,67.1863,0.316,0.076,447.945
840,600,97,0.102594,153.269,0.52,0.08,355.711
360,120,98,0.102174,137.295,0.54,0.108,1559.7
400,960,99,0.128269,252.082,0.568,0.192,1120.81
320,520,100,0.166988,370.416,0.708,0.276,2594.59
920,200,101,0.0584912,55.7958,0.244,0.068,135.133
560,200,102,0.110814,178.343,0.496,0.132,340.402
480,120,103,0.0994491,149.621,0.484,0.096,284.994
640,880,104,0.117604,210.532,0.528,0.14,1159.4
760,280,105,0.0976926,161.749,0.508,0.112,376.986
800,320,106,0.0903937,134.175,0.448,0.104,194.099
680,360,107,0.118277,190.069,0.54,0.116,474.011
480,400,108,0.154902,303.32,0.62,0.196,2712.51
120,680,109,0.151406,314.225,0.62,0.212,1532.49
